,time,open,high,low,close,volume
438,2014-10-10,624.61,627.49,617.72,617.72,150441103
439,2014-10-13,615.79,618.29,608.27,614.22,119913646
440,2014-10-14,614.22,616.71,605.79,605.79,115310870
441,2014-10-15,603.73,606.4,596.5,604.29,124373880
442,2014-10-16,603.11,603.59,585.76,587.17,169571793
443,2014-10-17,587.48,591.85,577.79,585.28,130527827
444,2014-10-20,588.38,593.2,585.7,589.24,82444742
445,2014-10-21,590.17,601.14,588.75,600.55,87101770
446,2014-10-22,600.27,603.97,598.99,601.59,101804136
447,2014-10-23,598.61,602.02,593.11,593.53,151034338
448,2014-10-24,592.66,595.33,588.72,591.51,93570938
449,2014-10-27,590.33,591.59,580.02,580.8,104193902
450,2014-10-28,579.77,584.43,578.44,583.13,116563475
451,2014-10-29,585.85,591.83,585.68,591.2,100309342
452,2014-10-30,593.86,594.3,589.14,589.14,96454830
453,2014-10-31,591.12,600.84,588.16,600.84,132328945
454,2014-11-03,603.44,606.94,602.51,603.15,123870111
455,2014-11-04,601.55,604.47,598.39,598.39,116124729
456,2014-11-05,599.64,602.53,593.53,597.01,146011840
457,2014-11-06,599.42,601.28,596.73,597.85,93438549
458,2014-11-07,598.37,603.32,597.73,602.59,125602912
459,2014-11-10,603.7,607.5,602.12,602.12,138816769
460,2014-11-11,603.5,608.68,601.85,604.23,136607077
461,2014-11-12,605.44,606.36,603.12,604.01,125780270
462,2014-11-13,605.3,607.29,602.62,603.16,157537646
463,2014-11-14,601.61,602.51,596.95,600.36,145108258
464,2014-11-17,602.4,604.63,600.93,600.93,114258771
465,2014-11-18,600.86,602.53,594.25,594.25,143921465
466,2014-11-19,594.88,597.29,588.35,588.35,161210597
467,2014-11-20,592.17,594.76,589.84,593.32,152658810
468,2014-11-21,594.71,596.02,588.03,588.03,160143220
469,2014-11-24,585.08,586.54,580.92,582.53,115157190
470,2014-11-25,583.53,588.42,583.53,585.91,114074387
471,2014-11-26,587.58,588.16,575.09,576.04,160588348
472,2014-11-27,575.64,575.82,567.36,572.89,117654958
473,2014-11-28,571.04,572.12,565.1,566.58,145477077
474,2014-12-01,566.22,571.69,565.09,568.01,123856042
475,2014-12-02,570.44,570.79,568.55,569.43,101634189
